950106013-044	19	23	しかし、並立制が連立政権を求めている	かというと	、そうではない。	1=>W:話題,0=>その他
950106156-003	49	51	「元日は家で家族と厳粛に過ごす」といった昔ながらの正月ではなく、普段の休日感覚で過ごそう過ごそう	とする	ライフスタイルが消費者の間に定着しつつあるようだ。	1=>M:意志,0=>その他
950106174-006	53	55	伊東氏は昨年十二月二十二十六日、自民党道連の佐藤孝行会長から出馬要請を受け「五五年体制を打破しようしよう	とする	自民党に敬意を持った」と語っていた。	1=>M:意志,0=>その他
950404053-016	4	7	そうだ	とすれば	、それに備える必要がある。	1=>Q:順接仮定,2=>Q:順接確定,0=>その他
950401040-016	58	61	とすれば、今回の四党合意は正常化交渉の障害を取り除くよりは、一層足かせを増やしてしまったのではないかと懸念される。	とすれば	、今回の四党合意は正常化交渉の障害を取り除くよりは、一層足かせを増やしてしまったのではないかと懸念される。	1=>C:順接仮定,2=>C:順接確定,0=>その他
950106172-001	150	153	一昨年四月に行方不明になった埼玉県行田市持田三、会社役員、川崎明男さんの死体遺棄容疑事件で、同県同県警捜査一課と行田署は六日、同県同県大里郡江南町江南町板井、犬猫犬猫繁殖販売業、関根元容疑者と元妻元妻の風間博子容疑者が遺体を焼却して灰をばらまいたとされる群馬県利根郡片品村花咲で現場検証と捜索を行う	とともに	、二人二人の本格的な取り調べを始めた。	1=>Q:相関,0=>その他
950106193-002	86	89	ウィーンの全欧安保協力機構事務局は五日、現ＯＳＣＥ議長国ハンガリーのコバチ外相の声明を発表し、ロシアによるチェチェン共和国への武力行使を非難、軍事活動の即時停止を要求する	とともに	、同問題の解決策を協議するため、ＯＳＣＥ議長特使を九日、ロシアに派遣することを決めた。	1=>Q:相関,0=>その他
950106177-001	52	54	白人政権から黒人中心政権への移行を果たした南アフリカを見届け、瀬崎克己駐南アフリカ前大使が先月付で帰任	となっ	た。	1=>W:状況,0=>その他
950106172-007	30	32	埼玉県警は、このほか関根容疑者が実質的に経営して事件の舞台	となっ	た同県同県大里郡江南町江南町板井、ペットショップ「アフリカケンネル」本社兼自宅など三カ所も、死体遺棄容疑で家宅捜索した。	1=>W:状況,0=>その他
950106177-015	25	27	これに南ア政府高官が信頼を寄せ、その後、政権幹部	となっ	た彼らが今回の赴任中に支援してくれたという。	1=>W:状況,0=>その他
950106079-006	54	56	メーカー別では、三菱自動車工業、富士重工業、日野自動車工業、いすゞ自動車、日産ディーゼル工業が前年比プラス	となっ	た。	1=>W:状況,0=>その他
950106127-007	22	24	以下ＴＢＳ１３・８％、テレ朝１２・３％の順	となっ	た。	1=>W:状況,0=>その他
950106156-007	61	63	売り上げもハーバーランドシティは約七千七千万円で歳末商戦並み、Ｋｏｕ〓Ｋｏｕ〓は約三千三千七百七百万円で通常の土曜日並み	となっ	た。	1=>W:状況,0=>その他
950106161-002	41	43	５社合計の利用客数は前年同期比３．５％減の１０８５万２０００人で、５年連続の減少	となっ	た。	1=>W:状況,0=>その他
950106099-008	27	29	昨年春場所、１横綱２大関を倒して、一躍「上位キラー」	となっ	たが、それ以降の横綱・大関戦は２勝１５敗。	1=>W:状況,0=>その他
950106021-017	53	55	ハイテクの軍事的側面も調査、京セラや大日本印刷、宇宙開発事業団、三菱重工、石川島播磨重工業などが調査対象	となっ	た。	1=>W:状況,0=>その他
950106079-004	54	56	九四年の車種別販売台数では、乗用車は同〇・八％減の三百三百四十四十万四百四百十台となり、四年連続のマイナス	となっ	たものの、減少幅は九三年より大幅に改善。	1=>W:状況,0=>その他
950106177-008	38	40	説得は難航したが接触は続き、昨年四月の選挙直前に国内交渉が決裂して国際調停	となっ	た際、ブテレジ議長は初め、瀬崎前大使に調停役を依頼してきた。	1=>W:状況,0=>その他
950401039-002	40	42	これで一昨年夏、細川内閣が取り上げて以来四次にわたった規制緩和策が一応の区切り	となっ	たわけである。	1=>W:状況,0=>その他
950106045-003	23	25	モガディシオからの報道によると、協定は激戦地	となっ	た同市同市内ベルムダ地区へのすべての道路からの兵力撤退など三項目からなり、五日午前六時から発効。	1=>W:状況,0=>その他
950106021-006	18	21	ＣＩＡ関係筋は、ＣＩＡの情報提供者	となって	いた自社自社両党両党の議員の名前を明らかにすることを拒否したが、社会党議員については「長老で、一九八〇年代に月二十二十五万円の報酬を手渡し、党の運動方針などを聞いた」とだけ述べた。	1=>W:状況,0=>その他
950106078-002	50	53	電力中央研究所がまとめた九五年度の経済見通しは、景気が思うように回復せず、低成長が続くと厳しい予測	となって	いる。	1=>W:状況,0=>その他
950404054-019	35	38	アフガニスタン国民約二千二千万のうち、ソ連軍侵攻で五百五百万余が難民	となって	パキスタン、イランなど周辺諸国に流出した。	1=>W:状況,0=>その他
950404053-002	32	34	一九七一年にドルと金との交換性は停止され、ドルはペーパーマネー	となり	、七三年には世界の主要通貨は変動相場制に移行した。	1=>W:状況,0=>その他
950404053-024	23	25	日本からのメッセージは、必ずや通貨改革の布石	となり	、日本の発言権と信頼を高めることにつながるはずである。	1=>W:状況,0=>その他
950106092-005	7	9	六日は休養日	となり	、奈良育英―市立船橋、帝京―守山北の準決勝は七日、東京・国立競技場で行われる。	1=>W:状況,0=>その他
950106079-004	41	43	九四年の車種別販売台数では、乗用車は同〇・八％減の三百三百四十四十万四百四百十台	となり	、四年連続のマイナスとなったものの、減少幅は九三年より大幅に改善。	1=>W:状況,0=>その他
950106110-011	48	50	追うゴルトベルガーは「本当に苦しくなってきた」と話しながらも必死で逆転を狙っており、激しい一戦	となり	そうだ。	1=>W:状況,0=>その他
950106155-007	35	37	この方式の場合で、財界は施設整備費を負担する関空会社の増資に応ずる形	となる	。	1=>W:状況,0=>その他
950106096-003	95	97	対戦時に４５歳５カ月となるホームズがタイトル奪取に成功した場合、昨年１１月に４５歳９カ月で世界ボクシング協会、国際ボクシング連盟王座に返り咲いたジョージ・フォアマンに次ぐ歴代２位の高齢記録	となる	。	1=>W:状況,0=>その他
950401039-018	10	12	また規制緩和と一体	となる	べき競争政策強化のための公正取引委員会の拡充が見送られたのも残念だ。	1=>W:状況,0=>その他
950106098-005	20	22	前半２０分、ＦＫから森崎嘉が４試合連続	となる	先制点を頭で決めると、１分後には北嶋が３試合連続のゴール。	1=>W:状況,0=>その他
950106096-003	11	13	対戦時に４５歳５カ月	となる	ホームズがタイトル奪取に成功した場合、昨年１１月に４５歳９カ月で世界ボクシング協会、国際ボクシング連盟王座に返り咲いたジョージ・フォアマンに次ぐ歴代２位の高齢記録となる。	1=>W:状況,0=>その他
950106068-002	24	26	実現すれば、北京市内では初の本格的な日系百貨店	となる	。	1=>W:状況,0=>その他
950106204-007	12	14	ＩＲＢがＩＯＣ公認団体	となる	にはＦＩＲＡの了承が必要。	1=>W:状況,0=>その他
950106211-020	12	14	心理学の立場から、対象	となる	人の性格特徴を分析、「やせ願望」と実際の状況を比較。	1=>W:状況,0=>その他
950404053-007	5	6	ドルと金	との	交換性が停止されてからは、米国はドルの印刷機を回せば済むことになった。	1=>D:同格,0=>その他
950106063-002	12	13	台湾行政院は五日、中国	との	直接往来を禁じている現在の政策を一部緩め、事実上、中台間の直行を可能にする新政策を決定した。	1=>D:同格,0=>その他
950106024-002	26	27	韓国の湖南精油は五日、米国が朝鮮民主主義人民共和国	との	包括合意に基づき供与する重油のうち最初の五万トンを、十一日から全羅南道麗川港で船積みすると発表した。	1=>D:同格,0=>その他
950106046-003	43	44	クリントン米政権は先月末、「自主的に帰国すれば一人一人当たり八十八十ドルを供与する」	との	条件を提示、難民の帰還を促した。	1=>D:同格,0=>その他
950106113-007	21	22	三月に一線から退くことを決意、シャンソン	との	対戦を最後に――と頑張ってきたが、その夢は消えた。	1=>D:同格,0=>その他
950106077-005	76	77	景気の見通しについて豊田会長は「円高円高と設備投資という構造的な問題を抱えているため実感できない」とし、稲葉会頭も「実感できるまで、まだ一年はかかる」	との	見通しを示した。	1=>D:同格,0=>その他
950106098-012	48	49	だが、先輩のけがで２戦目から途中起用された北嶋がＦＷとして期待を上回る活躍をし、大黒柱の森崎嘉	との	二枚看板が実現。	1=>D:同格,0=>その他
950106138-003	100	101	また、道知事選について、「伊東君は二、三二、三二、三日のうちに要請を受ける。その際には社会党の国会議員三人が脱党し、応援することになる」と、伊東氏が自民推薦で出馬し、社会党内部にも同調する動きが出る	との	見通しを示した。	1=>D:同格,0=>その他
950106044-002	15	16	ロシア軍とドゥダエフ政権部隊	との	激戦が続くロシア南部チェチェン共和国のグロズヌイ攻防をめぐり、イスラム教国であるパキスタンでは、“同胞”支援のジハードに参加すべきだとの声が急速な高まりを見せている。	1=>D:同格,0=>その他
950401040-005	24	25	連立与党三党の訪朝団は、朝鮮民主主義人民共和国	との	正常化交渉を再開する合意文書に、三十三十日署名した。	1=>D:同格,0=>その他
950404054-010	95	96	タジク人主体のラバニ大統領派は首都を抑えているものの、南部は同国の主要民族パシュトン人の神学神学生から成る新興組織「タリバン」に、北部はウズベキスタンと関係の深いウズベク人、南西部はイラン	との	つながりを指摘されるイスラム教シーア派のモンゴル系ハザラ人に支配されている。	1=>D:同格,0=>その他
950106001-004	98	99	両党両党は今後、政策と選挙の双方で連携を深めることになるが、焦点の新党結成については、政党間だけの協議にとどめず、学識経験者、市民グループ代表らを交えて協議する方針で、結成を無理に急ぐ必要はない	との	立場と見られる。	1=>D:同格,0=>その他
950106184-006	42	43	大統領の「風邪宣言」は調停の最後のヤマ場になるとみられていた四日のベルルスコーニ氏	との	会談の直前に発表された。	1=>D:同格,0=>その他
950106011-006	25	26	執行部内には「山花氏らは早々に離党させればいい」	との	意見もあり、協議は難航しそうだ。	1=>D:同格,0=>その他
950401039-006	31	32	おそらく、首相は中間報告以後の積み上げを評価して「充実した」	との	感想をもらしたのだろうだろうが、そんな目線の低さでは困る。	1=>D:同格,0=>その他
950106117-006	9	10	しかし、三洋電機	との	準決勝はＳＯ平尾らベテランの奮闘で突き放した。	1=>D:同格,0=>その他
950401040-026	26	27	日朝日朝正常化と南北統一を視野に入れ、米韓米韓両国	との	協力を基礎に北東アジアの将来をどう構想しているのかを明らかにすべきだ。	1=>D:同格,0=>その他
950106044-002	83	84	ロシア軍とドゥダエフ政権部隊との激戦が続くロシア南部チェチェン共和国のグロズヌイ攻防をめぐり、イスラム教国であるパキスタンでは、“同胞”支援のジハードに参加すべきだ	との	声が急速な高まりを見せている。	1=>D:同格,0=>その他
950401040-002	37	38	朝鮮半島外交には、他の地域以上に日本の命運とアジアの平和がかかっている、	との	思いがあったからだ。	1=>D:同格,0=>その他
950401040-011	25	26	朝鮮語の「歴史的」との語感には「なお生きている」	との	意味が込められており、北朝鮮としては、正常化交渉が三党共同宣言に縛られることを確認したことになる。	1=>D:同格,0=>その他
950404054-009	26	27	周辺諸国がゲリラ各勢力に武器や資金を供与している、	との	情報も気掛かりだ。	1=>D:同格,0=>その他
950402033-016	26	27	防衛庁の訓令だけを根拠に恣意的に水ぶくれさせている	との	批判もある。	1=>D:同格,0=>その他
950106173-010	57	58	ロシア大統領の全権代表、エゴロフ副首相は先に「五日中に首都を制圧する」と予告したが、ロシア軍が首都制圧に成功した	との	情報はない。	1=>D:同格,0=>その他
950106082-021	17	18	満さんは「夫は話し好きだから、人	との	出会いを楽しんでいるみたい」と話す。	1=>D:同格,0=>その他
950404053-002	11	12	一九七一年にドルと金	との	交換性は停止され、ドルはペーパーマネーとなり、七三年には世界の主要通貨は変動相場制に移行した。	1=>D:同格,0=>その他
950106001-008	32	33	しかし、旧民社党が新進党に参加したこともあり、久保氏はさきがけ	との	連携に意欲を持っている。	1=>D:同格,0=>その他
950106055-003	28	29	二年前の閣僚ら四人殺人事件がバンダ政権の指示によるもの	との	疑い。	1=>D:同格,0=>その他
950106010-001	78	79	外務省首脳は５日、今月予定されているロシアのコズイレフ外相の訪日について、「チェチェン情勢がこういう状況で国をあけられるかどうか」と述べ、訪日実現は難しい	との	見通しを示した。	1=>D:同格,0=>その他
950106149-003	73	74	今春以降、次の埋め立て地選びが迫られるが、関西国際空港開港後のベイエリア開発で、投棄される土砂や廃棄物はさらに増えそうで、生態系の破壊につながる	との	批判も高まりそうだ。	1=>D:同格,0=>その他
950402032-012	57	58	これに対し、アフリカ、中南米、東南アジアなどの非同盟諸国の多くは、「ＮＰＴは核保有国の優越的地位を固定するもの」	との	立場から無期限延長に反対している。	1=>D:同格,0=>その他
950106191-005	50	51	チェチェンへの軍事介入で改革派の政権離れが進む中、同政権が支持基盤を保守派に一層シフトし始めた兆候	との	見方も出ている。	1=>D:同格,0=>その他
950106156-009	64	65	家庭用ゲーム機、おもちゃなどのお年玉商品だけでなく、刺し身、牛肉、シャンプー、牛乳など通常の買い物商品もよく売れており、「正月	とは	いえ消費者はお節料理ばかりを食べているわけでなく、普段通りの生活をしている」ことがうかがえる。	1=>W:感嘆,2=>W:定義,3=>M:感嘆,0=>その他
950106013-054	27	28	社会主義インターに加入するそうだが、新保守主義の理念	とは	全く合わない。	1=>W:感嘆,2=>W:定義,3=>M:感嘆,0=>その他
950106013-027	15	16	社会党が全部というのは難しい	とは	思うけれども。	1=>W:感嘆,2=>M:感嘆,0=>その他
950106128-015	76	77	中沢さんの兄孝次さんは「東京と静岡で離れて暮らしているので、家には年に一度ぐらいしか帰ってこなかった。家族にはほとんど山のことを話さず、正月に山に登る	とは	聞いていなかった」と無念さを隠せない表情だった。	1=>W:感嘆,2=>M:感嘆,0=>その他
950106013-011	16	17	一昨年夏の再編の一つの軸だった	とは	言える。	1=>W:感嘆,2=>M:感嘆,0=>その他
950106013-061	10	11	新進党もそう増える	とは	思えない。	1=>W:感嘆,2=>M:感嘆,0=>その他
950106013-063	31	32	茨城のようなことはないにしても、あの結果はかなりの指標になる	とは	思っている。	1=>W:感嘆,2=>M:感嘆,0=>その他
950106113-004	8	9	「あんなに入る	とは	誤算だった」と原田。	1=>W:感嘆,2=>M:感嘆,0=>その他
950106211-040	10	11	大学を「卒業」する	とは	、それほど大変で、重みのあることなのだ。	1=>W:感嘆,2=>M:感嘆,0=>その他
950106191-008	28	29	チェチェンへの軍事介入に関しては、これに批判的な共産党	とは	距離を置き、憲法秩序回復の必要性を主張、エリツィン大統領の立場を支持していた。	1=>W:感嘆,2=>W:定義,3=>M:感嘆,0=>その他
950106099-006	8	9	新横綱の貴乃花	とは	一九八八年春場所初土俵の同期。	1=>W:感嘆,2=>W:定義,3=>M:感嘆,0=>その他
950106191-009	44	45	先月からグロズヌイに滞在し、ロシアの軍事進攻を非難していたセルゲイ・コワリョフ下院議員	とは	対立関係にある。	1=>W:感嘆,2=>W:定義,3=>M:感嘆,0=>その他
950106156-009	64	67	家庭用ゲーム機、おもちゃなどのお年玉商品だけでなく、刺し身、牛肉、シャンプー、牛乳など通常の買い物商品もよく売れており、「正月	とはいえ	消費者はお節料理ばかりを食べているわけでなく、普段通りの生活をしている」ことがうかがえる。	1=>Q:逆接確定,0=>その他
950106013-011	16	20	一昨年夏の再編の一つの軸だった	とは言える	。	1=>Q:逆接確定,0=>その他
950106099-009	29	33	握力１００キロ超の右手で上手を取れば怪力が生きるが、上位	ともなれば	、簡単には自分の形にはさせてもらえない。	1=>W:状況,0=>その他
950106170-002	40	43	村山富市首相は「今年は戦後五十五十年の節目の年。これまでの五十五十年を振り返る	と同時に	、五十五十年先を展望し、国際的な信用を得て、国民が安心して暮らせるように、痛みを伴う案件もあるが、大胆に取り組んでいきたい」と年頭のあいさつをした。	1=>Q:同時性,2=>Q:対比,0=>その他
950106013-010	32	34	ただ結果的には非自民政権だったから、あの政権をずっと非自民政権	と言い	続けた人がいた。	1=>M:伝聞,2=>D:同格,3=>D:強調,0=>その他
950106013-008	13	15	細川政権は政治改革政権、	と言っ	て提唱者の我々は自民党にも呼び掛けた。	1=>M:伝聞,2=>D:同格,3=>D:強調,0=>その他
950106015-004	54	56	一方、五十嵐広三官房長官は同日、地元・北海道旭川市で記者団に「久保書記長は『社会党はもうダメだから新党だ』	と言っ	ているようだが、新党には積極的な意味づけを考えるべきだ」と述べ、久保氏の姿勢をけん制した。	1=>M:伝聞,2=>D:同格,0=>その他
950106138-004	72	74	佐藤会長は「私が党総務会長だった二年半前、伊東君が『二十二十代に理想とした社会主義国家は存在しなくなった。自民党の言うことが理にかなっている』	と言っ	てきた」と、伊東氏から連携の働きかけがあったことを強調。	1=>D:同格,2=>M:伝聞,3=>M:勧め,0=>その他
950106138-004	72	75	佐藤会長は「私が党総務会長だった二年半前、伊東君が『二十二十代に理想とした社会主義国家は存在しなくなった。自民党の言うことが理にかなっている』	と言って	きた」と、伊東氏から連携の働きかけがあったことを強調。	1=>C:逆接確定,0=>その他
950106013-008	13	16	細川政権は政治改革政権、	と言って	提唱者の我々は自民党にも呼び掛けた。	1=>C:逆接確定,0=>その他
950106015-004	54	57	一方、五十嵐広三官房長官は同日、地元・北海道旭川市で記者団に「久保書記長は『社会党はもうダメだから新党だ』	と言って	いるようだが、新党には積極的な意味づけを考えるべきだ」と述べ、久保氏の姿勢をけん制した。	1=>C:逆接確定,0=>その他
950106099-007	20	22	入門当時は周囲から「若貴より素質は上」	と言わ	れていただけに、師匠の目には物足りなく映る。	1=>M:伝聞,2=>D:同格,3=>D:強調,0=>その他
950106168-005	81	83	ガリ総長はソマリアなどでの経験に立脚し、安保理がＰＫＯを派遣する場合「維持活動」と「執行活動」を明確に区分し、武力行使が必要な執行活動義務をＰＫＯに加えるべきで	ないと	している。	1=>M:順接必要,2=>Q:順接必要,0=>その他
950106187-007	28	31	欧米諸国ともチェチェンがロシアの一部であることは確認し	ながらも	、軍事行動のエスカレートを人権の側面から問題視している。	1=>Q:逆接確定,0=>その他
950106110-011	27	30	追うゴルトベルガーは「本当に苦しくなってきた」と話し	ながらも	必死で逆転を狙っており、激しい一戦となりそうだ。	1=>Q:逆接確定,0=>その他
950106155-005	27	30	また、財界の資金協力について「応分の負担はする」とし	ながらも	、「固定資産税、事業税を払わなければならない。それらの経営技術的問題を解決しない限り、できないのは明白」と現状のまま、財界負担額を明示することに難色を示した。	1=>Q:逆接確定,0=>その他
950106077-003	31	34	規制緩和については「今年は計画を作り、実行する年」と位置付け	ながらも	、「経済的規制の撤廃はほとんど進んでおらず、小康状態に甘んじている」と政治のリーダーシップが欠けている現状に不満を見せた。	1=>Q:逆接確定,0=>その他
950106129-005	21	24	同議員はムチ打ちムチ打ち刑の野蛮さを認め	ながらも	、「ムチ打ちムチ打ち刑は多くの人々をおびえさせ、犯罪を犯す前に、これまでの二倍、考えさせることになる」と説明している。	1=>Q:逆接確定,0=>その他
950405043-009	34	35	ところが、今や「観客」にとって選挙よりももっと関心を引く事象ばかり	なの	で、選挙そのものが「観客」の視野に入らないのが実情だろうだろう。	1=>T:並立,0=>その他
950106158-002	10	11	患者は「仕事で必要	なの	で支払ったが、どう考えても納得いかない」と怒り、病院側も内部調査を始めた。	1=>T:並立,0=>その他
950404053-019	35	36	世界経済の発展と通貨の安定のため、国際通貨体制をどのように改革すべき	なの	か。	1=>T:並立,0=>その他
950106125-002	66	67	洗剤のＣＭではちょっと軟弱な姿を見せているけれど、映画デビュー作では得意の語学力を生かした日系人役を演じた経歴を持つなど、器用な人	なの	だ。	1=>T:並立,0=>その他
950405043-021	24	25	夜十時まで投票可能な英国、イタリア、義務投票制	なの	でその制裁として投票しない人に罰金を科すオーストリア、オーストラリア、ベルギーなど各国も投票率アップに懸命のようだ。	1=>T:並立,0=>その他
950106160-011	10	11	ＣＤのＤは盤のこと	なの	に。	1=>T:並立,0=>その他
950106211-040	28	29	大学を「卒業」するとは、それほど大変で、重みのあること	なの	だ。	1=>T:並立,0=>その他
950106187-005	8	11	チェチェン進攻	にあたっ	てロシアは「内政問題」を盾に外国からの批判をかわせると判断していたようだ。	1=>D:状況,0=>その他
950106187-005	8	12	チェチェン進攻	にあたって	ロシアは「内政問題」を盾に外国からの批判をかわせると判断していたようだ。	1=>N:状況,2=>P:状況,0=>その他
950106024-003	9	12	合意での提供期限	にあたる	二十二十一日までには、北朝鮮の咸鏡北道先鋒港に到着する。	1=>D:状況,2=>P:状況,0=>その他
950106110-003	16	18	「ジャンプ週間」は年末から年始	にかけ	てドイツ、オーストリアの４会場を舞台にラージヒルで争われるシリーズで、今季が４３回目。	1=>D:終点,2=>P:対象,3=>P:終点,0=>その他
950106093-004	56	58	鹿児島実は実力に開きがあるとみて、この日はスイーパーを置いての５バックと守備を固め、攻撃はシンプルにカウンター	にかけ	た。	1=>D:終点,2=>P:対象,3=>P:終点,0=>その他
950106007-004	31	33	調べでは、両容疑者は一九九三年四月二十二十日から二十二十一日	にかけ	て、川崎さんの遺体を同県同県熊谷市内に駐車中の関根容疑者の車から片品村花咲の空き地に運び、ドラム缶内で焼却。	1=>D:終点,2=>P:対象,3=>P:終点,0=>その他
950106161-001	28	30	関西の大手私鉄５社は５日、昨年１２月３１日から今月３日	にかけ	ての年末年始の利用客輸送実績をまとめた。	1=>D:終点,2=>P:対象,3=>P:終点,0=>その他
950106093-004	56	59	鹿児島実は実力に開きがあるとみて、この日はスイーパーを置いての５バックと守備を固め、攻撃はシンプルにカウンター	にかけた	。	1=>D:対象,2=>D:終点,0=>その他
950106110-003	16	19	「ジャンプ週間」は年末から年始	にかけて	ドイツ、オーストリアの４会場を舞台にラージヒルで争われるシリーズで、今季が４３回目。	1=>P:対象,2=>P:終点,3=>N:対象,4=>N:終点,0=>その他
950106161-001	28	31	関西の大手私鉄５社は５日、昨年１２月３１日から今月３日	にかけて	の年末年始の利用客輸送実績をまとめた。	1=>P:対象,2=>P:終点,3=>N:対象,4=>N:終点,0=>その他
950106007-004	31	34	調べでは、両容疑者は一九九三年四月二十二十日から二十二十一日	にかけて	、川崎さんの遺体を同県同県熊谷市内に駐車中の関根容疑者の車から片品村花咲の空き地に運び、ドラム缶内で焼却。	1=>P:対象,2=>P:終点,3=>N:対象,4=>N:終点,0=>その他
950106161-001	28	32	関西の大手私鉄５社は５日、昨年１２月３１日から今月３日	にかけての	年末年始の利用客輸送実績をまとめた。	1=>D:対象,2=>D:終点,0=>その他
950106159-011	23	26	啓光学園の記虎敏和監督は「朝鮮学校のラグビー	にかける	熱意と迫力は、勉強になった」と話す。	1=>D:終点,2=>P:対象,3=>P:終点,0=>その他
950401040-023	34	35	相手が交渉を求めていたのだからこそ「戦後の償い」を正常化交渉の議題	にさ	せない駆け引きを、十分展開できたはずであった。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106112-003	37	38	男子短距離は、帯広のワールドカップ五百五百メートルで２勝した清水宏保を軸	にし	た戦い。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106013-032	10	11	これから強固なもの	にし	ていかなければならない。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106112-005	51	52	女子は短距離が前年上位の野村和代、市川もとよら、中長距離は世界選手権代表の清水美映や降籏克子らを中心	にし	た争いか。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106171-005	107	108	一方、郵政省が「情報通信基盤整備元年」とする九五年の主要施策では、光ファイバー網を整備する民間事業者への超低利融資制度が創設され、情報通信基盤整備の道筋が一応ついたことから、情報通信サービスのマルチメディア化を柱	にし	た。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106211-035	37	38	苦労は、調査期間が高校生にとってはちょうど期末テストの時期だったり、対象	にし	た高校からアンケートの回答を拒否されたりしたこと。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106157-012	39	40	福岡市に採用された際、元教諭の戸籍を提出しているが、同市人事課は「信頼を前提	にし	ており、書類がそろっていればチェックできない」。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106209-001	21	22	兄弟子、升田幸三を破って再び名人位を手中	にし	た大山康晴が第１９期名人戦で新たに迎えた挑戦者は加藤一二三・八段だった。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106013-063	12	13	茨城のようなことはない	にし	ても、あの結果はかなりの指標になるとは思っている。	1=>Q:逆接仮定,2=>Q:逆接確定,0=>その他
950402033-012	26	27	判決は、抗告訴訟についての国側国側の主張を門前払い	にし	たうえで、二十二十一点についても「秘密として保護に値する内容ではない」と公開を求めた。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106211-024	28	29	「『徹子の部屋』におけるあいづち表現について」をテーマ	にし	た。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106085-003	21	22	「愛を呼ぶラブコールベル」を恋人の名を口	にし	ながら３回鳴らすと、恋が実るという。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106157-012	39	41	福岡市に採用された際、元教諭の戸籍を提出しているが、同市人事課は「信頼を前提	にして	おり、書類がそろっていればチェックできない」。	1=>W:不均衡,2=>P:状況,3=>P:仲介,4=>Q:想外,5=>T:強調,0=>その他
950106013-032	10	12	これから強固なもの	にして	いかなければならない。	1=>W:不均衡,2=>P:状況,3=>P:仲介,4=>Q:想外,5=>T:強調,0=>その他
950106013-063	12	15	茨城のようなことはない	にしても	、あの結果はかなりの指標になるとは思っている。	1=>Q:逆接仮定,2=>Q:逆接確定,0=>その他
950106168-007	60	61	このため、今後はＰＫＯ派遣を決定する前に、必要な人員、機材を動員しうる財源を確保、明確な権限、任務の規定などを必要条件	にす	べきだと指摘。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106034-006	7	9	「部長を目標	にする	新入社員が多いが、今後は百人に九十九十人は部課長部課長になれない時代」と警告する。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106013-005	3	5	二つ	にする	こと自体には意味がない。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106074-010	18	20	自らにかかる火の粉火の粉火の粉を気	にする	わけでもなかろうなかろうが、行政改革に対しては「具体的な計画を政府に提案する考えはない」と、官僚への遠慮が垣間見える。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106011-012	48	50	しかし、同氏は年末の報道各社のインタビューで、執行部が早期の新党結成を二月の党大会で決めること	にすれ	ば、通常国会前は新党準備会結成にとどめ、離党は先送りする意向をにじませた。	1=>Q:逆接仮定,2=>Q:逆接確定,3=>W:も観点,0=>その他
950106009-001	35	38	さきがけの武村正義代表は五日、地元の滋賀県で記者会見し、今夏の参院選	について	、党公認候補として選挙区で八、九八、九八、九人を擁立する方針を初めて表明した。	1=>P:対象,2=>P:割合,3=>N:対象,0=>その他
950106211-019	11	14	テーマは「ダイエット	について	」。	1=>P:対象,2=>P:割合,3=>N:対象,0=>その他
950106021-005	18	21	ＣＩＡスポークスマンはこうした工作	について	「ノーコメント」と論評を拒否した。	1=>P:対象,2=>P:割合,3=>N:対象,0=>その他
950401039-019	32	35	五カ年計画の内容は大いに不満だが、作業方法と今後の推進システム	について	は一応評価できる。	1=>P:対象,2=>P:割合,3=>N:対象,0=>その他
950106080-003	17	20	具体的内容は検討中だが、ボーナス	について	は査定の金額の幅を拡大する。	1=>P:対象,2=>P:割合,3=>N:対象,0=>その他
950106001-006	30	33	武村氏はその後、久保氏とも東京都内で会談、こうした確認事項	について	意見交換した。	1=>P:対象,2=>P:割合,3=>N:対象,0=>その他
950106168-006	18	21	憲章上は派遣可能である執行活動自体	について	「数万の兵員を必要とする大規模な執行活動を実施する力は現在の国連にはない」と、加盟諸国の理解と支援が得られない現状を強調した。	1=>P:対象,2=>P:割合,3=>N:対象,0=>その他
